message,label,type
May gulo sa barangay hall,urgent,fights
May butas sa kalsada,non-urgent,infrastructure
Sumisigaw ng tulong sa kanto,urgent,medical emergency
Streetlight not working kaagad,non-urgent,infrastructure
Burning smell in the neighborhood pls,urgent,fire emergency
Basura nakakalat sa kanto,non-urgent,waste
Malaking usok sa likod ng simbahan please,urgent,fire emergency
Nagsisigawan sa kanto urgently,non-urgent,noise
Loud vehicles passing midnight agad,non-urgent,noise
Loud construction early morning.,non-urgent,noise
Lubak-lubak ang daan papuntang palengke naman,non-urgent,infrastructure
Flames visible near gasoline station please,urgent,fire emergency
Bad smell from uncollected garbage naman,non-urgent,waste
Trash scattered after fiesta now,non-urgent,waste
May nagsusuntukan sa kanto,urgent,fights
Burning smell in the neighborhood,urgent,fire emergency
Nagsisigawan sa kanto,non-urgent,noise
May sugatang tao sa park,urgent,medical emergency
Loud construction early morning!,non-urgent,noise
Malaking usok sa likod ng simbahan,urgent,fire emergency
Group of men arguing loudly po,urgent,fights
Loud construction early morning,non-urgent,noise
Trash scattered after fiesta naman,non-urgent,waste
Road full of potholes,non-urgent,infrastructure
Barking dogs all night.,non-urgent,noise
Broken road near bridge agad,non-urgent,infrastructure
May apoy sa gilid ng kalsada naman,urgent,fire emergency
Injury accident at intersection,urgent,medical emergency
Streetlight not working,non-urgent,infrastructure
Bridge railing damaged,non-urgent,infrastructure
"Car accident, please send help!",urgent,medical emergency
Cracked sidewalk near park po,non-urgent,infrastructure
Malaking usok sa likod ng simbahan pls,urgent,fire emergency
"Car accident, please send help kaagad",urgent,medical emergency
Streetlight not working naman,non-urgent,infrastructure
Nawalan ng malay sa school,urgent,medical emergency
May sugatang tao sa park now,urgent,medical emergency
Fight reported at the gym agad,urgent,fights
May sirang poste sa labas ng barangay,non-urgent,infrastructure
Fire alarm activated at office,urgent,fire emergency
"Sunog sa palengke, please respond.",urgent,fire emergency
Lubak-lubak ang daan papuntang palengke,non-urgent,infrastructure
Nasusunog ang bahay sa barangay agad,urgent,fire emergency
"Sunog sa palengke, please respond now",urgent,fire emergency
Nasusunog ang bahay sa barangay please,urgent,fire emergency
May party na sobrang ingay!,non-urgent,noise
Littering near playground,non-urgent,waste
Loud vehicles passing midnight,non-urgent,noise
Karaoke noise disturbing residents agad,non-urgent,noise
May sirang poste sa labas ng barangay naman,non-urgent,infrastructure
May nahimatay sa kalsada urgently,urgent,medical emergency
Bar fight ongoing,urgent,fights
Uncollected waste near market,non-urgent,waste
Maruming paligid sa barangay naman,non-urgent,waste
Trash scattered after fiesta,non-urgent,waste
Loud vehicles passing midnight urgently,non-urgent,noise
Nagsasagutan at nag-aaway sa plaza agad,urgent,fights
Bad smell from uncollected garbage.,non-urgent,waste
"Sunog sa palengke, please respond",urgent,fire emergency
Littering near playground!,non-urgent,waste
May sunog sa tindahan,urgent,fire emergency
Nawalan ng malay sa school.,urgent,medical emergency
Nasusunog ang bahay sa barangay,urgent,fire emergency
Fire at apartment building please,urgent,fire emergency
Fire alarm activated at office naman,urgent,fire emergency
"Car accident, please send help now",urgent,medical emergency
Nasusunog ang bahay sa barangay pls,urgent,fire emergency
Basura nakakalat sa kanto please,non-urgent,waste
Maingay na motor sa kalsada,non-urgent,noise
Person bleeding heavily agad,urgent,medical emergency
Heart attack alert,urgent,medical emergency
May nagsusuntukan sa kanto please,urgent,fights
Sira ang drainage sa gilid ng daan!,non-urgent,infrastructure
May party na sobrang ingay,non-urgent,noise
Too much noise from karaoke,non-urgent,noise
Loud vehicles passing midnight naman,non-urgent,noise
Barking dogs all night,non-urgent,noise
Smoke seen from the warehouse!,urgent,fire emergency
Fire at apartment building naman,urgent,fire emergency
Injury accident at intersection agad,urgent,medical emergency
May sugatang tao sa park!,urgent,medical emergency
Fallen signboard on road,non-urgent,infrastructure
Violent altercation on street po,urgent,fights
Bad smell from uncollected garbage,non-urgent,waste
Bridge railing damaged urgently,non-urgent,infrastructure
"Car accident, please send help",urgent,medical emergency
May sugatang tao sa park agad,urgent,medical emergency
May apoy sa gilid ng kalsada,urgent,fire emergency
May nahimatay sa kalsada,urgent,medical emergency
Streetlight not working!,non-urgent,infrastructure
Flames visible near gasoline station kaagad,urgent,fire emergency
Flames visible near gasoline station agad,urgent,fire emergency
Ambulance required at city hall urgently,urgent,medical emergency
Violent altercation on street pls,urgent,fights
Karaoke noise disturbing residents now,non-urgent,noise
Bad smell from uncollected garbage pls,non-urgent,waste
Karaoke noise disturbing residents,non-urgent,noise
Loud music at night,non-urgent,noise
Fire alarm activated at office urgently,urgent,fire emergency
Barking dogs all night!,non-urgent,noise
Ambulance required at city hall,urgent,medical emergency
Fire alarm activated at office agad,urgent,fire emergency
Uncollected waste near market please,non-urgent,waste
Maingay ang kapitbahay naman,non-urgent,noise
Flames visible near gasoline station,urgent,fire emergency
May rambol sa eskinita,urgent,fights
"Car accident, please send help pls",urgent,medical emergency
Broken road near bridge.,non-urgent,infrastructure
People fighting outside store,urgent,fights
Person bleeding heavily po,urgent,medical emergency
Garbage not collected for days po,non-urgent,waste
People fighting outside store pls,urgent,fights
Fight reported at the gym po,urgent,fights
Cracked sidewalk near park please,non-urgent,infrastructure
Garbage not collected for days,non-urgent,waste
Person bleeding heavily urgently,urgent,medical emergency
Flames visible near gasoline station now,urgent,fire emergency
Garbage not collected for days now,non-urgent,waste
Basura nakakalat sa kanto!,non-urgent,waste
Loud music at night now,non-urgent,noise
Violent altercation on street,urgent,fights
Loud construction early morning naman,non-urgent,noise
Fire at apartment building,urgent,fire emergency
Person bleeding heavily,urgent,medical emergency
Fight reported at the gym.,urgent,fights
Burning smell in the neighborhood!,urgent,fire emergency
Maingay ang kapitbahay please,non-urgent,noise
Loud construction early morning pls,non-urgent,noise
Nagsisigawan sa kanto!,non-urgent,noise
Fallen signboard on road!,non-urgent,infrastructure
Need ambulance urgently urgently,urgent,medical emergency
May gulo sa barangay hall naman,urgent,fights
Sumisigaw ng tulong sa kanto kaagad,urgent,medical emergency
"Sunog sa palengke, please respond naman",urgent,fire emergency
Maingay ang kapitbahay,non-urgent,noise
Hindi pa kinukuha ang basura pls,non-urgent,waste
Maruming paligid sa barangay,non-urgent,waste
Smoke seen from the warehouse,urgent,fire emergency
Road full of potholes.,non-urgent,infrastructure
Group of men arguing loudly,urgent,fights
Need ambulance urgently!,urgent,medical emergency
Streetlight not working pls,non-urgent,infrastructure
May nahimatay sa kalsada.,urgent,medical emergency
Bridge railing damaged po,non-urgent,infrastructure
Nawalan ng malay sa school now,urgent,medical emergency
Two men fighting near school urgently,urgent,fights
Maingay ang kapitbahay po,non-urgent,noise
Burning smell in the neighborhood kaagad,urgent,fire emergency
Heart attack alert please,urgent,medical emergency
Basura sa harap ng bahay,non-urgent,waste
May nahimatay sa kalsada po,urgent,medical emergency
Nagsasagutan at nag-aaway sa plaza,urgent,fights
Cracked sidewalk near park,non-urgent,infrastructure
Sira ang drainage sa gilid ng daan,non-urgent,infrastructure
Road full of potholes please,non-urgent,infrastructure
Road full of potholes po,non-urgent,infrastructure
Basura nakakalat sa kanto po,non-urgent,waste
Maingay na motor sa kalsada kaagad,non-urgent,noise
May sunog sa tindahan agad,urgent,fire emergency
Violent altercation on street please,urgent,fights
Cracked sidewalk near park naman,non-urgent,infrastructure
Lubak-lubak ang daan papuntang palengke pls,non-urgent,infrastructure
Group of men arguing loudly kaagad,urgent,fights
Bad smell from uncollected garbage please,non-urgent,waste
Loud vehicles passing midnight now,non-urgent,noise
Lubak-lubak ang daan papuntang palengke urgently,non-urgent,infrastructure
Malaking usok sa likod ng simbahan now,urgent,fire emergency
Cracked sidewalk near park agad,non-urgent,infrastructure
May nagsusuntukan sa kanto!,urgent,fights
Smoke seen from the warehouse pls,urgent,fire emergency
Cracked sidewalk near park urgently,non-urgent,infrastructure
May sunog sa tindahan urgently,urgent,fire emergency
Overflowing trash bins naman,non-urgent,waste
Maruming paligid sa barangay agad,non-urgent,waste
May sirang poste sa labas ng barangay!,non-urgent,infrastructure
Bar fight ongoing agad,urgent,fights
Maingay ang kapitbahay agad,non-urgent,noise
Hindi pa kinukuha ang basura please,non-urgent,waste
Group of men arguing loudly.,urgent,fights
Nagsasagutan at nag-aaway sa plaza please,urgent,fights
Bridge railing damaged kaagad,non-urgent,infrastructure
Injury accident at intersection!,urgent,medical emergency
Barking dogs all night kaagad,non-urgent,noise
Broken road near bridge,non-urgent,infrastructure
Lubak-lubak ang daan papuntang palengke agad,non-urgent,infrastructure
Bar fight ongoing po,urgent,fights
May nagsusuntukan sa kanto urgently,urgent,fights
Broken road near bridge now,non-urgent,infrastructure
May nagsusuntukan sa kanto pls,urgent,fights
Loud construction early morning urgently,non-urgent,noise
Maingay ang kapitbahay now,non-urgent,noise
Need ambulance urgently now,urgent,medical emergency
May rambol sa eskinita agad,urgent,fights
Broken road near bridge kaagad,non-urgent,infrastructure
Fallen signboard on road naman,non-urgent,infrastructure
"Sunog sa palengke, please respond pls",urgent,fire emergency
Hindi pa kinukuha ang basura,non-urgent,waste
Sira ang drainage sa gilid ng daan pls,non-urgent,infrastructure
Heart attack alert naman,urgent,medical emergency
Sira ang drainage sa gilid ng daan po,non-urgent,infrastructure
Road full of potholes pls,non-urgent,infrastructure
Maruming paligid sa barangay po,non-urgent,waste
Maingay na motor sa kalsada urgently,non-urgent,noise
Group of men arguing loudly naman,urgent,fights
Trash scattered after fiesta urgently,non-urgent,waste
May nagsusuntukan sa kanto now,urgent,fights
Nagsasagutan at nag-aaway sa plaza!,urgent,fights
May gulo sa barangay hall now,urgent,fights
Littering near playground now,non-urgent,waste
